1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121
33519,47186,28128,77844,16308,15127,8983,29955,11495,5907,3041.171,7379,15368,4813.281,45845,9132.466,12801,37574,7602,14387,8178,8081,19930,5803,9308,3029,1006.563,5030,14713,57056,6842,1824.088,11354.64,2532,11287,2415.154,6280,3858,5497,14677,8043,21874.04,7447.811,13415,2097.07,25495,7611,12553,26895,6994,15134,4896,11998,11512,14428,36693,19388,5052,14651.88,9123,13250,3727.563,7352,14655,90006.42,13453,31122,2819.672,7017,17938,9025,7169,6547,3538,2328.334,1857.297,6684,3901,5135,10469,13432,11165,11764,6551,4145,18063,6148,5645,9947,13238,9262,19845.06,17969,5247,22266,5015,14012,23368,8667,33323,17584,12302,10597,19120,3336.128,2471.84,5895,9799,6152,4009,4051,4591,5685,5054,6094.931,8374,23624.63,16820,14044,7731,8326
26240.99,32775,50640.21,25882,15814,24067,20777,64656.12,32850,14475,16574,28082,36055,13392,34689,15085,26462,51472,18749,27580.09,24043,15038,23520,22603,9553,8177,26361.65,10880,17670,5009,7800,12347,26006,10450,13130,30818,19186,13373,18766,22702,23216,37093.08,13874,14601,16636,4694.071,8866,26423,5540,9037,20797,14450,13092,12527,16442,60568,15173,33742,18441,27196,9756,20452.89,31040,52309,20272,31706.7,23656,16442,7023,8898,4809,11527,19764,10000,11770,4136,11497,11940,19083,48479,28130,46954,44670,8684,7537,23621,4896,11276,26351.98,18320,21623,13700.61,33544,26291,30189,11573,16232,25383,16116,30906,42436.89,95524,13885,21741,11328,5533.039,23014,7853,10481,17664,6508,18274,19792,10418,9777,41555,31282,17677,20183,10508,7420
114490.9,106667,87147.62,105337.5,201136,143917,105629,90116,197533,74245.81,147663.9,107057.9,173351,487811,131226,148454.7,192764,118855,159947,74293,62599,90157,56021.16,2332.501,108391.8,53541,107475.7,74561,156027.7,84399,61004,56606,76648,144066.3,132708.5,104620,308210,88902.73,103960.9,106243.7,150011.9,123383,103850,138218,140992,583.2982,143645,72214,86457.62,83213,55886.15,83271.03,87204,4880.442,75656,97806.25,115783,73000,104967,196430,150287,239671,151197,103296,3657.023,95691,186859,89563,125145,98797,55428,70345,98631,308173,103994,90069,46886,66620,79434,104836,68147,285291,90922,92856,162647,64302,84793,62524,153457,207885,82077,85991,190899,149185,152040,67791,59486,142171,130496,145409,163741,91726,177861,144183,82363,169966,84395,72373,128332,100810,313038,66741,110294,231172,69315,413475,172531,133600,258573,73436,100036
76688,113125,165791,270198,37209,1140179,382841,100952,1315293,1407083,258642,375165,2238.305,14561,186416,53186,2893.707,4235.672,385247,152201,274863,739616,58696,101079,75751,233226,1657.269,81398,66274,238565,49159,695811,38093,612970,516965,1854095,914.785,1849882,24753,60969,5043127,458192,127234,8477,8593.508,26778.92,1010190,150332,100528,116646,155251,242927.8,253191,704386,260239,572654,1137426,9175372,110623,6438842,165008,117982,361885,406676,129983,160308.7,394228,177396,45834,391775,425983,621662,399137,217362,220844,2881.212,93932,2238.625,501039,271641,2978395,233116,773907,433074,785066,1238661,135.9717,157551,496072,368285,659660,43946.36,176007,13086,2359741,38599,1192004,21835,798115,183567,201236,1552724,80957,1688159,494.6923,614.2554,112875,19453,167820,229072.2,572008,219704,123970,70051,1070.462,1781867,1524.753,2332.448,810220,328939,377552
270493.1,457904,469350,477633,371541,416492,394663,287576,781447,219370,691871,864819,788955,452944,391287,386539,393644,244493,744747,195698,189480,158580.6,287065,236382.8,102061.8,700029,473050,422194,407471,563743,103322,314275,290309,938074,385571,785287,223532.7,657840,467372,215896,404473,451235,725993,1013537,648329,701.1515,206304,620455,404561,231286,523774,679956,197145,336265,506391,829493,247770,608236,293402,925267,589239,1184005,1097132,705480,400238.6,960358,690023,503196,1028732,352978,168822,539829,371824.4,674480,259363,504946,269722,250017,922682,759550,492297,725973,798670,398356,232218,330683,198264,767353,1077318,433464,356219,557637,491855,1015753,523991,616347,611065,819388,572592,1085280,622689,549197,1603935,894461,541331,433284,520657,357864,1204250,953267,211296,485977,403536,208979,381025,634061,604308,413397,347425.2,283274,562741
7372.978,6037.228,7282.927,5041,10133,149599,7255,32495.92,10277,14485,29324,5118.093,5297,13676,8842.735,9398,19350,18512,4668.696,6355,12553,7401,14164,7807.198,11415.77,10169,6950,6814,2000.988,7133,8928,3264,4483,3708,14807.44,10479,7319,8726,4132,24750,3913.909,25348,20130,21586,10936,7190,15804,18697,5242,18773,6870,35826,13095,22235,10608,6241.62,38327,29115,17140,10342,10387,6077.39,10507,19590,7191,15254.13,13206.84,13472,7818,7674,9948,6007.771,191777,13074,6239,1727.939,10300,6244,17367,25022,22303.24,10180,8932,8668,29891,27320,8768,14135,6823,2707,4987,11097,26098,14673,7236,18509,7076.303,11078,26800,199828,31211,31344,14119,8353,9694,2828.304,22988,8209,4349,16012,12302,7246,11681,5989,19794,38259,29150,5458,12007,6100,16654
510230,742059,1447991,825122,227185.8,474362,214170.8,1565351,579830,37277,164834,556722,607858,86295,119365,479055.8,439923,1279317,535358,1072753,1397398,164602.6,528345,215114,54051,173045,351841,217189,518607,439861,231788,107505,759021,620557,535191,68202,60618,439045,367260,61903,661040,1284964,447680,668666,47695,401016.7,54221,530081,305332,133033,567502,475874,52932,164707,909276,475450,539572.6,511883,549776,437476.5,293560.3,1221188,381992.5,493739,692281,776479,994063,646276,456966,377197.5,169908,178225,906401,775218,229049,255255.2,243113.4,335843,287491,332498,480730,366356,1121120,65738.86,309557,164419,99377,555303,3023999,510411,460028,181623,154703,409263,772716.1,311794,359652,389411.6,378953,479770.6,324261.6,171838,664602,887726,170951.4,588326,322373,184350,683324,613159,144409.7,349406.2,987046,157847,286389,181597,357513,484211,527230.3,315832,370788
32939,36460,37787,34470,65701,41378,38083,54658,40318,38578,54059,46032,46155,28395,50329,38814,42084,42337,36667,30278,30599,25038,27440,23733,22817,52750,27056,25780,37687,50075,16094,22054,25643,47420.18,39545,37783,28482,55982,33322,37570,36124,43793.54,81075,92326,78348,1419.752,29149,39278,37394,40192,33200,27929,23626,45744,76360,118282,115627,127003,90930,82358,39059,36281,35415,125845,173802,40608,40073,80864,71295,24921,22438,65536,121321,88326,53534,13146,72878,39743,104878,118730,103379,31529,128202,55550,29342,68114,44560,91429,40547.28,58321,68536,40488,83379,40091,85596,96125,77644,71368,34086,118708,98954,100603,119661,135693,60846,75917,72041,59182,69124,87129,33798,70421,109307,54834,67979,96891,116027,46039,88274,22688,24594
203402,431636,228035,257445.7,81001,266680.9,285571,237405,519234,81044,146169,656010,616304,62963,139289,183634,267248,209721,634725,154013,164343,188935,228795,4683.354,40002,180970,309021,465496,244666,151173,57104.21,105919,351477,289498,183408,96785,109389,165693,444766,115570,324658,389838,203128,183629,266646,2163.233,159439,605081.4,177399,45982,341431,446821,76288,3326.821,2802.814,7797.907,69738.99,203837,192471,347374,259741,432054,747076,251569,4118.359,252586,334736,145154,288841,184403,81692,150937.8,89219,138756,81602,234455,100841.9,191767,225053,279896,161894,284809,232180,103620,103606,76543,95157,184204,377455.9,8737.307,98685,359614,265867.5,414590,176276,263256,119440,286940,211227,502203,288204,166942,574659,227115,201462,214437,166081,64467,464200,255101,94647,139317,121274,64379,111810,163152,169027,374078,132927,169031,273477
22357,16139,16877.16,20513,12376,15491,10202,15838.95,22539,11499,45214,8383.557,21453,25592.41,18788,23215,22438,14514,20332,20855,30437,11211.31,23479,5071,50039,34470,17743,16506,46182,24781,6885.01,11723.94,18328,8776,24633,14542,22373.91,9758,6231.374,39682,35997,19801.46,26669,22101,60542,21283,32232,33514,29624,12721,4574,14802,22792,7423.618,7851.108,19864,39284,10983,11055,21951.21,26349,62773,14948,11393.79,16147.72,48683,33411.79,14993,13117.54,58945,9397,8462.047,69725,28761.68,23137,20490,3445,17534,9674,29185.96,7954,21718,26103,9187,27949.17,28266,11916,15281,16345.59,63081,5105,21386,23587,32227,25198,5705,10685,15172,13410,15254,23392,35323,52199,19469,3788.056,25642.25,5442,30830,29677,46205,23506.67,19589,62069,34764.01,20279,75879,48917,16781,51873,19291,9434.695
