iter	Passed	Remaining
666	6030	3010
667	6036	2999
668	6049	2992
669	6057	2983
670	6063	2972
671	6068	2961
672	6077	2952
673	6083	2942
674	6092	2933
675	6098	2923
676	6106	2913
677	6112	2903
678	6117	2891
679	6130	2885
680	6139	2875
681	6145	2865
682	6163	2860
683	6174	2852
684	6181	2842
685	6198	2837
686	6212	2830
687	6222	2821
688	6230	2812
689	6241	2804
690	6247	2793
691	6258	2785
692	6264	2775
693	6276	2767
694	6284	2757
695	6294	2749
696	6310	2743
697	6325	2736
698	6334	2727
699	6342	2718
700	6351	2709
701	6358	2699
702	6366	2689
703	6373	2679
704	6382	2670
705	6389	2660
706	6397	2651
707	6405	2641
708	6414	2632
709	6421	2623
710	6431	2614
711	6437	2604
712	6449	2596
713	6456	2586
714	6473	2580
715	6489	2573
716	6504	2567
717	6523	2562
718	6539	2555
719	6555	2549
720	6584	2547
721	6595	2539
722	6604	2530
723	6614	2521
724	6620	2511
725	6629	2502
726	6635	2491
727	6644	2482
728	6650	2472
729	6659	2463
730	6666	2453
731	6677	2444
732	6683	2434
733	6691	2424
734	6699	2415
735	6707	2405
736	6713	2395
737	6718	2385
738	6727	2376
739	6734	2366
740	6746	2357
741	6751	2347
742	6761	2338
743	6766	2328
744	6776	2319
745	6781	2309
746	6790	2299
747	6796	2289
748	6806	2281
749	6814	2271
750	6827	2263
751	6849	2258
752	6864	2251
753	6877	2243
754	6887	2234
755	6905	2228
756	6920	2221
757	6931	2212
758	6962	2210
759	6979	2204
760	6993	2196
761	7002	2187
762	7008	2177
763	7013	2166
764	7023	2157
765	7028	2146
766	7037	2137
767	7043	2127
768	7051	2118
769	7057	2108
770	7065	2098
771	7071	2088
772	7077	2078
773	7085	2068
774	7091	2058
775	7103	2050
776	7109	2040
777	7120	2031
778	7126	2021
779	7140	2013
780	7149	2004
781	7159	1995
782	7168	1986
783	7173	1976
784	7181	1966
785	7188	1957
786	7196	1947
787	7204	1938
788	7212	1928
789	7221	1919
790	7230	1910
791	7253	1904
792	7289	1902
793	7319	1899
794	7349	1895
795	7393	1894
796	7413	1888
797	7451	1886
798	7467	1878
799	7481	1870
800	7497	1862
801	7508	1853
802	7515	1843
803	7528	1835
804	7541	1826
805	7558	1819
806	7581	1813
807	7627	1812
808	7644	1804
809	7695	1805
810	7711	1797
811	7750	1794
812	7773	1787
813	7926	1811
814	7943	1803
815	7964	1795
816	8112	1817
817	8129	1808
818	8145	1800
819	8224	1805
820	8244	1797
821	8263	1789
822	8279	1780
823	8343	1782
824	8362	1773
825	8378	1764
826	8397	1756
827	8411	1747
828	8423	1737
829	8444	1729
830	8455	1719
831	8461	1708
832	8477	1699
833	8486	1689
834	8492	1678
835	8502	1667
836	8511	1657
837	8526	1648
838	8544	1639
839	8558	1630
840	8590	1624
841	8620	1617
842	8626	1606
843	8636	1596
844	8643	1585
845	8653	1575
846	8660	1564
847	8669	1553
848	8675	1543
849	8686	1532
850	8696	1522
851	8702	1511
852	8712	1501
853	8719	1490
854	8725	1479
855	8734	1469
856	8740	1458
857	8749	1448
858	8755	1437
859	8763	1426
860	8769	1415
861	8773	1404
862	8783	1394
863	8789	1383
864	8800	1373
865	8806	1362
866	8815	1352
867	8821	1341
868	8831	1331
869	8837	1320
870	8848	1310
871	8854	1299
872	8867	1290
873	8878	1279
874	8884	1269
875	8898	1259
876	8904	1248
877	8912	1238
878	8919	1227
879	8927	1217
880	8934	1206
881	8941	1196
882	8948	1185
883	8953	1174
884	8960	1164
885	8966	1153
886	8974	1143
887	8981	1132
888	8989	1122
889	8997	1112
890	9006	1101
891	9012	1091
892	9021	1080
893	9027	1070
894	9032	1059
895	9042	1049
896	9048	1038
897	9062	1029
898	9071	1019
899	9077	1008
900	9085	998
901	9093	988
902	9101	977
903	9107	967
904	9113	956
905	9122	946
906	9128	936
907	9138	925
908	9146	915
909	9161	906
910	9179	896
911	9201	887
912	9223	878
913	9239	869
914	9251	859
915	9258	849
916	9268	838
917	9273	828
918	9282	818
919	9287	807
920	9295	797
921	9301	786
922	9305	776
923	9314	766
924	9319	755
925	9326	745
926	9334	735
927	9339	724
928	9348	714
929	9354	704
930	9362	693
931	9369	683
932	9376	673
933	9382	662
934	9387	652
935	9395	642
936	9400	632
937	9404	621
938	9410	611
939	9415	600
940	9423	590
941	9428	580
942	9433	570
943	9445	560
944	9450	550
945	9460	540
946	9465	529
947	9480	520
948	9488	509
949	9496	499
950	9506	489
951	9513	479
952	9521	469
953	9526	459
954	9531	449
955	9542	439
956	9547	428
957	9558	419
958	9563	408
959	9572	398
960	9577	388
961	9586	378
962	9591	368
963	9596	358
964	9605	348
965	9611	338
966	9621	328
967	9629	318
968	9637	308
969	9643	298
970	9651	288
971	9658	278
972	9666	268
973	9672	258
974	9676	248
975	9684	238
976	9689	228
977	9694	218
978	9703	208
979	9708	198
980	9716	188
981	9721	178
982	9725	168
983	9733	158
984	9738	148
985	9742	138
986	9751	128
987	9756	118
988	9764	108
989	9772	98
990	9779	88
991	9785	78
992	9789	69
993	9797	59
994	9802	49
995	9807	39
996	9816	29
997	9821	19
998	9828	9
999	9834	0
